|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.16 |     4.552 |
|                    12 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.33 |     4.21  |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.41 |     4.21  |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.23 |     4.552 |
|                    12 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.32 |     4.21  |
|                     7 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.09 |     4.21  |
|                     7 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.08 |     4.552 |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         3.34 |     4.427 |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.21 |     4.21  |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.12 |     4.552 |
|                     6 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.27 |     4.552 |
|                     3 |                       8 |    2.152 |    0.769 |   0.033 |   2.599 |    4.5   |         2.32 |     4.789 |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.57 |     4.552 |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.04 |     4.552 |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.06 |     4.552 |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.47 |     4.552 |
|                    12 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.18 |     4.552 |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.15 |     4.21  |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.3  |     4.552 |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         2.41 |     4.427 |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.3  |     4.552 |
|                     9 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.45 |     4.552 |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.09 |     4.552 |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         2.04 |     4.427 |
|                     9 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.5  |     4.552 |
|                     9 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.35 |     4.552 |
