  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   1.696	   0.002	  0.083	  1.8  	   0.333	        6.14	   -3.248
           4	   2.704	   0.082	  0.172	  3.178	   3    	        6.86	   -3.136
           3	   3.02 	   0.06 	  0.242	  2.062	   3    	        6.14	   -2.384
           5	   2.33 	   0.341	  0.134	  3.793	   7.2  	        7.38	    0.602
           5	   2.168	   0.241	  0.112	  3.421	   7.6  	        7.31	    1.658
           3	   2.185	   0    	  0.01 	  1    	   0    	        6.18	   -3.195
           5	   2.748	   0.165	  0.112	  4.414	   3.8  	        7.7 	   -3.639
           4	   2.271	   0.022	  0.047	  2.933	   0.75 	        6.85	   -4.523
           4	   1.569	   0.004	  0.09 	  2.556	   0.5  	        7.11	   -3.719
           4	   2.348	   0.026	  0.116	  1.663	   1    	        6.51	   -3.153
           5	   2.587	   0.223	  0.113	  2.22 	   7.4  	        7.58	    2.257
           5	   3.172	   0.246	  0.092	  3.995	   7.2  	        7.65	   -0.305
           4	   3.279	   0.308	  0.083	  2.414	   8.5  	        6.72	    2.416
           3	   3.352	   0.046	  0.063	  2.662	   2    	        6.54	   -4.123
           5	   2.756	   0.187	  0.118	  4.061	   4.4  	        7.69	   -2.722
           3	   1.827	   0.002	  0.092	  1.996	   0.333	        6.01	   -3.584
           3	   3.42 	   0.139	  0.109	  2.795	   5    	        6.69	   -1.463
           4	   2.439	   0.168	  0.221	  3.111	   3.75 	        7.78	   -2.189
           4	   1.802	   0.002	  0.126	  2.8  	   0.25 	        7.75	   -4.48
           5	   2.271	   0.086	  0.094	  3.595	   2    	        7.4 	   -4.046
           3	   1.827	   0    	  0.01 	  1    	   0    	        6.21	   -2.837
           4	   1.635	   0.002	  0.117	  2.996	   0.25 	        7.48	   -4.5
           4	   1.975	   0.027	  0.129	  2.667	   1.25 	        7.73	   -3.548
           3	   2.609	   0.053	  0.078	  2.738	   1.667	        7.42	   -3.811
           3	   3.059	   0.067	  0.055	  2.684	   3    	        7.59	   -2.865
           3	   2.054	   0.002	  0.076	  1.909	   0.333	        7.72	   -3.708
           5	   2.589	   0.209	  0.114	  3.598	   5.2  	        9.89	   -1.31
           3	   2.801	   0.048	  0.064	  2.329	   2.333	        6.8 	   -2.909
           5	   1.444	   0.036	  0.122	  2.796	   0.4  	        7.14	   -3.998
           4	   1.903	   0    	  0.071	  2    	   0    	        6.76	   -3.974
           4	   3.133	   0.322	  0.105	  3.117	  12    	        7.06	    5.323
           5	   1.58 	   0.03 	  0.079	  2.506	   1.2  	        6.97	   -2.995
           4	   2.872	   0.154	  0.108	  3.649	   4    	        7.5 	   -2.783
           5	   1.957	   0.123	  0.14 	  3.562	   3.4  	        7.68	   -2.382
           5	   1.845	   0.035	  0.157	  4.692	   1.6  	        7.95	   -5.129
