  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   3.41 	   0.527	  0.027	  1.647	   9.667	        4.66	    4.056
           4	   2.893	   0.425	  0.238	  2.583	   5.25 	        5.1 	   -0.889
           4	   1.803	   0.418	  0.168	  2.074	   5.75 	        5.16	    1.287
           2	   2.562	   0.123	  0.082	  1.434	   3    	        4.08	   -1.201
           2	   3.402	   0.307	  0.062	  1.544	   8    	        4   	    2.685
           4	   2.462	   0.401	  0.135	  2.717	   5.75 	        4.97	    0.035
           2	   3.402	   0.144	  0.096	  1.667	   5    	        4.05	   -0.309
           3	   2.715	   0.231	  0.141	  2.096	   4.333	        4.66	   -0.85
           3	   2.484	   0.428	  0.159	  2.027	   7    	        4.52	    1.902
           3	   2.253	   0.284	  0.186	  1.945	   5    	        4.46	    0.332
           4	   2.462	   0.364	  0.088	  2.325	   5.25 	        4.91	    0.011
           2	   3.379	   0.123	  0.123	  1.703	   4    	        3.98	   -1.328
           2	   3.478	   0.337	  0.012	  1.445	   8.5  	        3.88	    3.228
           4	   1.209	   0.074	  0.127	  1.38 	   1.5  	        4.99	   -1.29
           3	   2.253	   0.168	  0.251	  2.282	   3.667	        4.61	   -1.287
           4	   1.69 	   0.172	  0.199	  2.26 	   2.75 	        5.13	   -1.571
           2	   1.869	   0.022	  0.265	  1.648	   1    	        3.94	   -2.804
           2	   2.562	   0.069	  0.098	  1.324	   2.5  	        4.37	   -1.553
           3	   2.93 	   0.461	  0.079	  1.753	   8.667	        5.51	    3.444
           4	   1.964	   0.308	  0.241	  2.425	   4    	        4.95	   -0.938
           3	   2.789	   0.224	  0.113	  1.843	   5    	        4.56	    0.031
           3	   3.073	   0.303	  0.171	  1.77 	   5.667	        4.49	    0.35
           2	   3.379	   0.123	  0.123	  1.703	   4    	        4.17	   -1.328
           3	   2.253	   0.184	  0.243	  2.279	   4    	        4.42	   -0.959
           2	   3.414	   0.317	  0.041	  1.546	  10    	        4.01	    4.682
           3	   3.299	   0.413	  0.132	  1.992	   8.667	        4.66	    2.831
           3	   2.253	   0.16 	  0.246	  2.333	   3.667	        4.43	   -1.325
           2	   3.379	   0.123	  0.123	  1.703	   4    	        4.01	   -1.328
           2	   3.379	   0.104	  0.126	  1.634	   4    	        4.6 	   -1.243
           3	   3.491	   0.356	  0.183	  2.278	   6    	        5.04	   -0.308
           4	   3.235	   0.507	  0.157	  2.639	   6.5  	        4.98	   -0.038
           4	   1.964	   0.266	  0.214	  2.594	   4    	        4.91	   -1.038
           3	   2.268	   0.171	  0.23 	  2.289	   4.333	        4.45	   -0.625
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        4.06	   -0.826
           4	   2.737	   0.415	  0.23 	  2.642	   5.5  	        5.05	   -0.524
           3	   3.491	   0.356	  0.183	  2.278	   6    	        4.49	   -0.308
           2	   3.726	   0.205	  0.171	  1.659	   4.5  	        4.04	   -1.261
           3	   3.283	   0.327	  0.125	  2.513	   6.333	        4.57	    0.085
           4	   2.406	   0.435	  0.194	  2.453	   6.25 	        4.92	    0.762
           2	   2.418	   0.063	  0.222	  1.39 	   2    	        3.97	   -2.093
           3	   2.642	   0.296	  0.171	  2.104	   5.333	        4.52	    0.12
           2	   3.402	   0.128	  0.101	  1.671	   4.5  	        3.97	   -0.802
           4	   2.462	   0.41 	  0.085	  2.206	   6    	        4.97	    0.837
           3	   3.491	   0.389	  0.141	  2.226	   6.333	        5.05	    0.086
           2	   3.605	   0.293	  0.075	  1.581	   8.5  	        3.93	    2.946
           3	   3.283	   0.37 	  0.113	  2.247	   6.667	        4.45	    0.654
           4	   1.982	   0.447	  0.275	  2.5  	   5.75 	        5.13	    0.546
           4	   3.223	   0.525	  0.155	  2.67 	   6.5  	        5.01	   -0.073
           3	   3.283	   0.479	  0.085	  1.778	   9.333	        4.61	    3.708
           2	   3.379	   0.15 	  0.11 	  1.719	   5    	        4.29	   -0.358
           2	   3.726	   0.478	  0.032	  1.498	  11    	        3.92	    5.266
           2	   3.379	   0.104	  0.126	  1.634	   4    	        4.11	   -1.243
           3	   2.268	   0.26 	  0.223	  2.265	   5    	        4.46	   -0.016
           4	   2.737	   0.346	  0.237	  2.669	   5    	        4.98	   -0.989
           3	   1.246	   0.069	  0.177	  1.638	   1    	        4.48	   -2.13
           4	   2.462	   0.355	  0.228	  2.876	   5.25 	        4.86	   -0.671
           2	   3.379	   0.233	  0.082	  1.639	   6    	        4.34	    0.667
           2	   3.414	   0.356	  0.021	  1.533	  10    	        3.95	    4.676
           2	   3.379	   0.209	  0.088	  1.601	   5.5  	        3.95	    0.223
           3	   3.283	   0.421	  0.143	  2.181	   7    	        4.59	    0.972
           2	   1.869	   0.022	  0.265	  1.648	   1    	        4.05	   -2.804
           2	   3.379	   0.104	  0.126	  1.634	   4    	        3.91	   -1.243
           4	   2.474	   0.481	  0.071	  2.165	   7    	        4.92	    1.809
           2	   3.379	   0.169	  0.107	  1.659	   4.5  	        3.89	   -0.814
           2	   1.869	   0.005	  0.015	  1    	   0.5  	        3.93	   -2.389
           2	   3.379	   0.123	  0.123	  1.703	   4    	        3.88	   -1.328
           2	   3.223	   0.276	  0.1  	  1.578	   7    	        3.99	    1.823
           3	   2.276	   0.272	  0.213	  2.277	   5    	        4.56	   -0.038
           3	   2.253	   0.238	  0.122	  1.991	   4.333	        4.42	   -0.271
           2	   3.726	   0.205	  0.171	  1.659	   4.5  	        3.91	   -1.261
           2	   3.535	   0.293	  0.058	  1.631	   8    	        3.99	    2.483
           4	   2.731	   0.385	  0.215	  2.582	   5.5  	        5.06	   -0.413
